Composition,Eg (eV),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136
EuSnTe2,0.6,72.3333,13,50,63,175.292,33.255,118.71,151.965,7,4,5,6,16.3333,29,3,16,6.66667,9,3,6,2,1,1,3,95,155,25,90,2.03333,0.95,1.4,1.85,1.99333,0.87,1.36,1.85,3.05333,0.6,1.67,3.94,2.03333,0.95,1.4,1.85,1.40667,0.62,0.69,1.31,2.05333,4.2,0,2.1,2.59667,3.61,1.15,2.38,6.82543,6.291,4.5926,5.4418,6.12667,7.88,3.1,5.49,2.41,3.226,1.09,2.158,3.33333,0,2,4,6.33333,9,3,6,2.66667,0,2,2,3.33333,8,0,4,10,20,0,10,2.66667,0,2,2,998,1191,547,869,15.4667,16.7,5.5,27.7,1015.2,590,505.15,1095.15,2290.4,17.25,1262.95,2543.15,8.34333,2.07,5.24,7.31,0.269,0.047,0.18,0.227,17.073,27.951,7.029,17.49,181.467,190.7,52.55,295.8,28.4,61.9,2.35,66.6,291.333,124,178,302,3.12667,1.28,1.86,3.14
CuI,3.047,41,24,29,53,95.2252,63.3585,63.546,126.904,4.5,1,4,5,14,6,11,17,6,4,4,8,1.5,1,1,2,80,32,64,96,1.375,0.05,1.35,1.4,1.25,0.16,1.17,1.33,1.8125,0.455,1.585,2.04,1.375,0.05,1.35,1.4,1.385,1.35,0.71,2.06,2.28,0.76,1.9,2.66,1.92,1.68,1.08,2.76,4.7978,2.2682,3.6637,5.9319,5.62,2.28,4.48,6.76,2.1045,0.509,1.85,2.359,2.72,5.44,0,5.44,9,4,7,11,1.5,1,1,2,2.5,5,0,5,10,0,10,10,4,6,1,7,876.5,263,745,1008,5.85,1.7,5,6.7,871.4,969.5,386.65,1356.15,1648.65,2383,457.15,2840.15,6.945,4.03,4.93,8.96,0.297,0.166,0.214,0.38,10.437,5.226,7.824,13.05,160.526,279.548,20.752,300.3,200.725,400.551,0.449,401,222.5,231,107,338,2.3,2.38,1.11,3.49
Ba2InDyTe5,1.35,121.75,17,49,66,297.493,47.682,114.818,162.5,12,19,5,6,25,76,2,16,10.5,26,2,6,2.25,3,0,3,143.5,432,9,90,3.65,2.7,1.4,2.15,3.4475,2.84,1.36,1.98,5.2185,4.68,1.67,3.67,3.65,2.7,1.4,2.15,2.63,2.04,0.94,1.49,3.82,8.72,0.89,2.1,4.21,9.74,1.08,2.38,11.4385,22.9753,4.2337,5.4418,9.6125,22.65,2.4,5.49,3.8245,9.028,0.881,2.158,5.11,6.56,2,3.44,10,26,2,6,4.5,0,2,2,5.25,20,0,4,15,50,0,10,4.5,0,2,2,1620.5,3339,503,869,35.275,51.9,5.5,39.7,1931.11,1255.4,429.75,1685.15,3833.59,3474.6,1262.95,2840.15,13.515,1.55,3.5,8.55,0.452,0.06,0.17,0.23,29.3182,84.187,3.263,17.49,252.088,31.25,52.55,231.5,35.2125,69.85,2.35,81.6,469.75,69,180,291,5.0775,0.76,1.9,3.04
GaAs,1.53,32,2,31,33,72.3223,5.19859,69.723,74.9216,4,0,4,4,14,2,13,15,5.5,1,5,6,1,0,1,1,79,10,74,84,1.225,0.15,1.15,1.3,1.23,0.06,1.2,1.26,1.555,0.28,1.415,1.695,1.225,0.15,1.15,1.3,0.74,0.04,0.72,0.76,1.995,0.37,1.81,2.18,1.985,0.57,1.7,2.27,4.6696,1.0048,4.1672,5.172,4.25,2.1,3.2,5.3,1.9835,0.455,1.756,2.211,3.22,0.44,3,3.44,4,2,3,5,2,0,2,2,2,2,1,3,0,0,0,0,4,2,3,5,763,368,579,947,6.2,3.8,4.3,8.1,696.55,787.2,302.95,1090.15,1783.15,1786,890.15,2676.15,5.815,0.17,5.73,5.9,0.35,0.04,0.33,0.37,16.645,22.11,5.59,27.7,146.73,223.94,34.76,258.7,45.3,9.4,40.6,50,294,16,286,302,2.885,0.15,2.81,2.96
CsSmHgSe3,2.374,74.75,22,34,80,180.184,36.29,78.96,200.59,7.5,6,4,6,16,47,1,16,7.25,20,1,7,2,3,0,3,91.5,262,5,89,2.35,0.85,1.15,2.6,2.235,1.13,1.16,2.35,3.67875,0.455,1.285,4.31,2.35,0.85,1.15,2.6,1.355,0.13,0.56,1.81,2.9025,6.86,0.79,2.55,2.77,6.85,0.77,2.54,8.7145,3.8143,4.4326,8.2469,6.965,15.49,2.18,5.89,2.70275,6.643,0.659,2.434,3.56,3.44,1,4.44,8.5,11,1,12,2.75,5,1,2,3,12,0,4,2.5,10,0,10,5.75,17,1,6,1187.75,631,376,1007,26.3,48.2,3.8,59.6,838.35,1112.9,234.25,1347.15,1628.47,1437,630.15,2067.15,9.315,11.63,1.87,13.5,0.38475,0.821,0.139,0.32,8.27475,6.538,2.092,8.63,101.617,53.3,37.7,166.4,21.69,52.88,2.04,59,257,620,61,227,2.7485,6.71,0.67,2.46
Ca3B2N4,3.9,32.6667,50,5,20,65.961,98.612,10.811,40.078,8,4,2,4,30.6667,54,2,15,15.3333,22,2,7,2,4,0,1,164.333,307,7,82,3.23333,2.8,0.65,1.8,3.28667,2.22,0.75,1.74,4.25,6.84,0.54,3,3.23333,2.8,0.65,1.8,1.70667,2.92,0.25,1.14,6.41333,9.16,1,3.04,6.23667,7.89,1.17,2.85,15.2541,18.4952,3.0128,6.8834,14.7933,22.6,2.2,7.3,6.48933,9.162,1.034,3.066,8,6,2,3,10.6667,14,2,5,6,0,2,2,4.66667,12,0,3,0,0,0,0,10.6667,14,2,5,2993.33,3838,590,1402,26.2667,64,1.1,22.8,2764.58,4451.3,63.25,2352.15,3742.38,5336.9,77.35,2823.15,3.11167,4.675,0.00125,2.34,2.69667,2.27,0.63,1.04,42.4872,98.9584,0.3604,50.2,483.49,968.229,2.7928,489.7,218.035,599.896,0.02598,200,1190.67,612,178,573,12.2733,6.1,1.84,5.81
Pb0.8Sn0.2Te,0.08,42.5333,55.6,50,82,105.701,142.018,118.71,207.2,3.6,0.2,5,6,10,13.2,14,16,3.66667,5,5,6,0.666667,0,1,1,56.9333,74,80,90,1.04333,0.04,1.4,1.8,0.939333,0.184,1.36,1.47,1.23933,0.002,1.67,2.09,1.04333,0.04,1.4,1.8,0.813333,1.054,0.69,1.49,1.31067,0.66,1.8,2.1,1.43067,2.004,1.88,2.38,3.38421,4.52328,4.5926,5.4418,3.15667,2.37,3.9,5.49,1.33533,1.7932,1.824,2.158,1.584,1.2,2,4,3.33333,5.2,4,6,1.33333,0,2,2,2,3.6,2,4,6.66667,0,10,10,1.86667,1.2,2,4,527.867,727.2,709,869,4.16,3.96,5.5,7.7,434.733,621.62,505.15,722.65,1127.37,754.32,1262.95,2543.15,5.60733,2.88,6.24,11.4,0.116467,0.0586,0.13,0.227,7.57833,13.6508,4.799,17.49,84.6233,6.61,52.55,295.8,14.6367,10.97,2.35,66.6,138.067,96.4,196,302,1.48067,0.996,2.03,3.14
EuSb2BO8,3.46,58.5,58,5,63,133.573,141.154,10.811,151.965,8.5,10,2,6,43.5,125,3,16,19.25,53,3,7,3.5,5,1,3,240.75,671,25,87,2.6,2.95,0.6,1.85,2.8275,3.99,0.73,1.85,2.99625,0.22,0.465,3.94,2.6,2.95,0.6,1.85,3.26,1.06,0.25,1.31,8.415,27.52,0,3.44,8.4725,25.41,1.15,3.32,21.637,62.3673,4.5951,8.3703,19.3525,57.22,3.1,7.54,8.99725,27.79,1.09,3.61,2.75,3,0,3,16,45,3,6,6,0,2,2,9.75,32,0,4,5,20,0,10,14.25,44,2,6,3382,9965,547,1314,12.561,21.356,0.793,27.7,1423.4,1914.15,54.75,2352.15,2448.2,2101.95,90.15,2823.15,5.24286,13.3686,0.00143,6.69,2.245,0.84,0.18,1.02,25.2327,48.4193,0.22259,50.2,203.69,462.421,3.4099,489.7,22.4285,26.7861,0.02674,27,816.75,395,178,573,8.5325,3.95,1.86,5.81
K4Hf3Se14,2.02,256,140,19,72,599.101,379.077,39.0983,178.49,30,38,4,6,80,220,1,16,38,94,1,7,6.66667,6,0,2,464.333,1234,3,89,9.85,7.3,1.15,2.2,9.56,8.12,1.16,2.03,13.8267,3.23,1.285,3.69,9.85,7.3,1.15,2.2,5.49,1.76,0.56,1.52,14.2933,32.42,0.82,2.55,14.65,32.36,0.8,2.54,36.9727,7.9584,2.7882,6.3704,34.5133,72.78,2.42,5.89,13.4973,31.14,0.734,2.434,14.6667,8,1,4,33.3333,80,1,6,12.6667,24,1,2,18.6667,56,0,4,2,6,0,2,31.3333,80,1,6,5609,11498,419,941,91.8,120.4,3.8,43.4,5236.05,6154.85,336.4,2500.15,10722,1205.35,958.15,4873.15,36.8,36.46,0.86,13.3,2.63333,2.58,0.14,0.75,58.4107,62.844,2.334,24.06,857.427,1197.2,37.7,575,169.053,381.04,2.04,102.4,1798.33,1497,90,619,19.1653,15.584,0.934,6.44
ZnO,3.48,19,22,8,30,40.6947,49.3906,15.9994,65.39,3,2,2,4,14,4,12,16,5.5,3,4,7,1.5,1,1,2,78,18,69,87,0.975,0.75,0.6,1.35,0.99,0.52,0.73,1.25,1.1725,1.415,0.465,1.88,0.975,0.75,0.6,1.35,0.975,0.47,0.74,1.21,2.545,1.79,1.65,3.44,2.38,1.88,1.44,3.32,6.0609,4.6188,3.7515,8.3703,5.995,3.09,4.45,7.54,2.6,2.02,1.59,3.61,2.22,4.44,0,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,1110,408,906,1314,3.5965,5.607,0.793,6.4,373.75,638,54.75,692.75,634.65,1089,90.15,1179.15,3.56571,7.12857,0.00143,7.13,0.655,0.53,0.39,0.92,3.77229,7.09941,0.22259,7.322,59.355,111.89,3.4099,115.3,58.0134,115.973,0.02674,116,190,118,131,249,1.985,1.27,1.35,2.62
NaCeS3,2.15,39,47,11,58,86.4343,117.125,22.9898,140.115,6,3,3,6,17.3333,47,1,16,8.33333,20,1,7,2,3,0,3,93.6667,262,2,88,2.21667,1.15,1,1.85,2.08333,1.41,1.02,1.65,3.48333,1.2,1.1,4.5,2.21667,1.15,1,1.85,1.2,0.13,0.43,1.16,3.26333,6.81,0.93,2.58,3.31333,7.06,0.89,2.65,8.2162,14.9996,2.5378,5.8458,8.20333,15.81,2.85,6.22,3.242,6.898,0.869,2.589,3.4,2.2,1,3.2,7.33333,17,1,6,3,5,1,2,4,12,0,4,0.333333,1,0,1,7,17,1,6,1343.33,2504,496,1000,20.6333,20.9,2.9,29.6,866.65,700.2,370.95,1071.15,2279.95,1376.6,717.85,3530.15,4.61367,5.689,0.971,6.66,1.18333,1.04,0.19,1.23,4.4035,0.3075,1.7175,5.46,180.12,384.6,9.8,414,51.069,140.193,0.269,141,455,310,109,419,4.661,3.207,1.113,4.32
PbSnS3,1.05,60,34,16,82,140.703,111.002,32.066,207.2,6.66667,3,3,6,25.3333,34,14,16,10.3333,16,5,7,1.66667,0,1,1,141.667,184,80,88,2.08333,1.2,1,1.8,1.98,1.59,1.02,1.47,2.42333,1.21,1.1,2.09,2.08333,1.2,1,1.8,1.15667,0.2,0.43,1.49,3.83333,5.94,1.8,2.58,3.91667,6.07,1.88,2.65,8.9568,12.9448,4.5926,5.8458,8.95333,14.76,3.9,6.22,3.815,5.943,1.824,2.589,4.14667,2,2,4,8.66667,14,4,6,3.33333,0,2,2,5.33333,10,2,4,6.66667,30,0,10,8,16,2,6,1475,2291,709,1000,7.73333,1,2.9,7.7,754.55,557.2,385.95,600.65,2236.62,389.6,717.85,2543.15,8.30667,5.19,2.07,11.4,0.829,2,0.13,0.71,5.66017,1.8765,1.7175,7.029,167.633,266.4,9.8,295.8,34.2357,65.793,0.269,66.6,445,106,196,302,4.57333,1.11,2.03,3.14
Si2Te3,2.16,92,128,14,52,219.486,326.629,28.0855,127.6,10.5,9,3,5,38,20,14,16,15,6,6,6,2.5,1,1,1,213,114,78,90,3.2,2,1.1,1.4,3.15,1.86,1.11,1.36,3.925,2.17,1.42,1.67,3.2,2,1.1,1.4,2.065,2.53,0.4,1.11,5.05,2.5,1.9,2.1,5.55,3.18,1.98,2.38,12.3479,7.955,4.1852,5.4418,13.005,6.93,4.77,5.49,5.153,2.642,1.916,2.158,7,2,2,4,13,10,4,6,5,2,2,2,8,8,2,4,15,30,0,10,7,2,2,4,2090.5,1033,787,869,13.65,5.7,5.4,5.5,2767.12,1198.35,722.65,1683.15,4522.57,1467.45,1262.95,2628.15,11.69,14.06,2.33,6.24,1.01,0.82,0.2,0.71,76.785,48.63,17.49,50.55,463.045,610.79,52.55,384.22,151.525,288.95,2.35,148,747.5,313,197,452,7.915,2.69,2.19,4.63
LaTaN2O,2,38,59,7,73,90.9666,152.934,14.0067,180.948,4.5,4,2,6,13.5,13,3,16,7,4,3,7,1.75,1,1,2,78,74,13,87,1.325,1.35,0.6,1.95,1.315,0.96,0.73,1.69,1.85375,2.615,0.465,3.08,1.325,1.35,0.6,1.95,0.9875,0.76,0.3,1.36,3.03,2.34,1.1,3.44,3.0775,1.97,1.35,3.32,8.30692,3.8535,4.5168,8.3703,7.3375,4.44,3.1,7.54,3.043,2.52,1.09,3.61,3.5,5,0,5,6,3,3,6,2.5,0,2,2,2.5,4,0,4,1,3,0,3,5,4,2,6,1354.25,2266,538,1402,11.7982,30.307,0.793,31.1,1160.89,3214.4,54.75,3269.15,2417.54,5543.45,77.35,5698.15,5.68848,16.5975,0.00125,16.6,0.8325,1.94,0.14,1.04,9.68585,31.3774,0.22259,31.6,291.499,737.414,2.7928,743,17.7697,57.448,0.02598,57.5,600,533,249,782,6.2575,5.48,2.62,8.1
Cs4Ta4P4Se24,2.38,347,232,15,73,818.587,599.897,30.9738,180.948,39,12,3,6,117,380,1,16,54,164,1,7,9,8,0,2,670,2116,5,89,11.95,6.4,1,2.6,11.71,5.16,1.06,2.35,16.05,12.28,1.24,4.31,11.95,6.4,1,2.6,6.26,6,0.31,1.81,19.78,58.04,0.79,2.55,20.27,57.88,0.77,2.54,50.5315,8.5648,4.4326,6.5738,47.25,132.64,2.18,5.89,18.856,55.78,0.659,2.434,21,16,1,5,47,140,1,6,17,44,1,2,27,96,0,4,3,12,0,3,44,140,1,6,7795,2544,376,1012,99.1,224,3.6,59.6,6828.85,11870.4,301.55,3269.15,12942.4,20580,553.15,5698.15,49.03,59.12,1.82,16.6,3.07,2.52,0.14,0.77,74.513,123.772,0.657,31.6,1049.07,2923.48,12.129,743,128.975,235.06,0.235,59,2538,2812,79,782,27.094,29.184,0.804,8.1
CdSe,1.8678,41,14,34,48,95.6855,33.451,78.96,112.411,4.5,1,4,5,14,4,12,16,5.5,3,4,7,0.5,1,0,1,79.5,19,70,89,1.35,0.4,1.15,1.55,1.32,0.32,1.16,1.48,1.75,0.93,1.285,2.215,1.35,0.4,1.15,1.55,0.74,0.36,0.56,0.92,2.12,0.86,1.69,2.55,1.97,1.14,1.4,2.54,4.83985,1.8423,3.9187,5.761,5.11,1.56,4.33,5.89,1.977,0.914,1.52,2.434,3.22,2.44,2,4.44,9,6,6,12,2,0,2,2,2,4,0,4,5,10,0,10,4,4,2,6,904.5,73,868,941,5.5,3.4,3.8,7.2,542.1,103.9,490.15,594.05,998.15,80,958.15,1038.15,6.72,3.86,4.79,8.65,0.275,0.09,0.23,0.32,6.443,0.502,6.192,6.694,68.635,61.87,37.7,99.57,49.42,94.76,2.04,96.8,169.5,115,112,227,1.81,1.3,1.16,2.46
EuEr2Se4,1.7,111.667,0,34,68,267.442,18.68,78.96,167.26,11.3333,4,4,6,24.3333,58,3,16,12.3333,22,3,7,4.33333,8,1,3,150.333,331,25,89,3.31667,2.75,1.15,1.85,3.21,2.79,1.16,1.85,5.44667,1.2,1.285,3.94,3.31667,2.75,1.15,1.85,1.87,0.93,0.56,1.31,4.22667,10.2,0,2.55,4.57,9.01,1.15,2.54,13.126,18.0439,5.0001,5.761,10.9533,17.36,3.1,5.89,4.33533,7.556,1.09,2.434,5.33333,2,2,3,11,18,3,6,4.66667,0,2,2,5.33333,16,0,4,0,0,0,0,10,20,2,6,1829.67,3217,547,941,29.4333,12.5,3.8,27.7,2220.02,1643.7,490.15,1802.15,3972.35,2449.7,958.15,3141.15,14.18,1.02,4.79,9.07,0.6,0.94,0.17,0.32,25.262,13.024,6.694,19.9,272.1,371.2,37.7,261,16.8867,20.44,2.04,14.3,573.333,456,178,317,6.09333,4.72,1.86,3.29
BaGe2,1,60,8,32,56,141.274,7.893,72.61,137.327,7,2,4,6,15,26,2,14,7,10,2,6,1,2,0,1,83.5,149,9,79,2.325,0.35,1.25,2.15,2.21,0.46,1.22,1.98,3.261,0.282,1.56,3.402,2.325,0.35,1.25,2.15,1.275,0.43,0.53,1.49,2.455,3.13,0.89,2.01,2.53,2.9,1.08,1.99,6.87555,4.8113,4.4699,4.6406,5.8,6.8,2.4,4.6,2.4345,3.107,0.881,1.994,5,6,2,4,5,6,2,4,3,2,2,2,2,4,0,2,0,0,0,0,5,6,2,4,1013.5,1021,503,762,25.95,27.5,6.1,39.7,1719.62,1442.95,998.15,1220.55,4059.72,4293.15,1913.15,3103.15,7.07,7.14,3.5,5.32,0.422,0.436,0.204,0.32,40.815,66.13,7.75,36.94,401.9,519.8,142,330.9,69.1,101.4,18.4,59.9,467,574,180,377,4.8,5.8,1.9,3.85
TlInSe2,1.18,66,13,34,81,159.04,46.4633,78.96,204.383,6.33333,2,4,6,19.3333,19,13,16,8,9,5,7,1.33333,0,1,1,109.667,103,75,89,1.91667,0.4,1.15,1.9,1.74667,0.84,1.16,1.48,2.285,0.335,1.285,2.235,1.91667,0.4,1.15,1.9,1.03,0.09,0.56,1.03,2.83333,3.48,1.62,2.55,2.8,3.45,1.63,2.54,6.80583,7.2883,4.2337,5.761,6.02667,8.68,3.1,5.89,2.771,3.212,1.656,2.434,3.62667,2.88,2,3.44,6,9,3,6,2.66667,0,2,2,3.33333,7,1,4,6.66667,20,0,10,5.66667,10,2,6,1009.67,1324,558,941,8.3,2.1,3.8,9.7,662.067,146.4,429.75,576.15,1999.87,436.85,958.15,2353.15,9.59667,2.32,4.79,11.9,0.333333,0.51,0.13,0.32,6.931,10.125,3.263,6.694,157,156.1,37.7,231.5,43.9267,77.52,2.04,81.6,293,61,182,243,3.10667,0.64,1.88,2.52
Bi2CrI2O11,2.4,96,78,8,83,224.94,241.967,15.9994,208.98,12,10,2,6,61.5,28,6,17,26.75,12,4,8,4.25,9,1,2,342.5,143,49,96,3.5,3.4,0.6,1.6,3.6975,5.11,0.73,1.46,3.67975,2.675,0.465,2.44,3.5,3.4,0.6,1.6,5.1325,3.36,0.76,2.06,12.215,36.18,1.66,3.44,12.08,34.52,2,3.32,29.2165,88.802,3.2713,8.3703,27.39,79.22,3.72,7.54,12.5245,38.06,1.65,3.61,2.945,5.78,0,5.78,24,4,5,7,7.75,21,1,2,15,10,0,5,11.25,20,0,10,22.75,13,1,7,4632.25,13801,653,1314,11.2807,2.877,0.793,11.6,1148.5,1527.9,54.75,2130.15,2129.35,1953.5,90.15,2945.15,9.14143,19.4843,0.00143,9.75,2.8095,9.88,0.12,0.92,14.3991,14.4515,0.22259,16.9,158.228,306.791,3.4099,344.3,27.658,93.4059,0.02674,93.7,941,183,107,397,9.875,1.88,1.11,4.1
Ga0.85As0.85Zn0.15Se0.15,1.47,16,0.6,30,34,36.1501,2.0355,65.39,78.96,2,0,4,4,7,0.6,12,16,2.75,0.45,4,7,0.5375,0.15,1,2,39.5,3,69,89,0.614375,0.03,1.15,1.35,0.613125,0.897,1.16,1.26,0.779563,0.08925,1.285,1.88,0.614375,0.03,1.15,1.35,0.36325,0.562,0.56,0.76,1.00537,0.135,1.65,2.55,0.992875,0.165,1.44,2.54,2.3413,0.301425,3.7515,5.761,2.194,1.8365,3.2,5.89,0.993888,0.1266,1.59,2.434,1.61,0.366,2,4.44,2.375,0.75,3,12,1,0,2,2,1,0.6,0,4,0.375,1.5,0,10,2,0.6,2,6,393.538,312.8,579,947,3.0175,6.315,3.8,8.1,340.392,669.12,302.95,1090.15,837.987,1518.1,890.15,2676.15,2.91838,0.351,4.79,7.13,0.175375,0.0105,0.32,0.39,7.59973,18.7935,5.59,27.7,68.0978,190.349,34.76,258.7,23.679,17.094,2.04,116,138.375,237.05,131,302,1.369,2.3135,1.35,2.96
LiInSnS4,2.3,41.5,47,3,50,92.1833,111.769,6.941,118.71,6,3,2,5,23,63,1,16,9.75,27,1,7,1.5,4,0,1,127,351,1,88,2.1125,2.45,1,1.55,2.14,2.45,1.02,1.63,2.485,2.35,1.1,2.05,2.1125,2.45,1,1.55,1.0625,0.78,0.43,0.94,3.76,9.34,0.98,2.58,3.7525,9.7,0.9,2.65,8.85795,20.1609,3.2223,5.8458,8.8225,21.87,3.01,6.22,3.687,9.444,0.912,2.589,4.11,3,1,4,8,23,1,6,3.25,7,1,2,4.75,16,0,4,5,10,0,10,7.25,23,1,6,1446.75,3480,520,1000,13.325,12.7,2.9,24.3,733.087,1038.65,385.95,505.15,2345.71,328.25,717.85,2543.15,5.86075,6.767,0.543,7.31,1.72425,3.373,0.227,3.6,5.0405,0.159,1.7175,7.029,178.105,256.6,9.8,295.8,58.494,83.624,0.269,84.7,455.5,141,161,302,4.6725,1.51,1.63,3.14
Pr2Te3,1.5,137,38,52,59,332.308,100.985,127.6,140.908,13.5,3,5,6,27,42,3,16,12,12,3,6,4.5,3,1,3,152,236,17,90,3.95,0.5,1.4,1.85,3.69,0.78,1.36,1.65,6.985,3.95,1.67,4.48,3.95,0.5,1.4,1.85,2.985,0.69,1.11,1.32,4.28,4.04,1.13,2.1,4.67,4.94,1.1,2.38,12.8022,7.0464,4.6395,5.4418,11.335,10.27,3.1,5.49,4.327,4.294,1.09,2.158,6.1,0.2,2,3.1,12,12,3,6,5,2,2,2,6,12,0,4,15,30,0,10,5,2,2,2,1830.5,1553,527,869,36.45,39.9,5.5,28.2,2288.12,240.35,722.65,1204.15,5184.57,2791.45,1262.95,3290.15,16.13,5.18,6.24,6.77,0.49,0.22,0.19,0.2,33.125,38.69,6.89,17.49,375.625,435.95,52.55,296.8,16.025,17.95,2.35,12.5,651.5,121,197,356,6.985,0.83,2.19,3.7
EuGa2Se4,2.16,87,1,31,63,202.417,12.519,69.723,151.965,10,10,4,6,31,61,3,16,13.6667,25,3,7,3,1,1,3,176.333,331,25,89,3.01667,2.75,1.15,1.85,3.00333,2.79,1.16,1.85,4.15667,1.2,1.285,3.94,3.01667,2.75,1.15,1.85,1.69,0.93,0.56,1.31,4.60667,10.2,0,2.55,4.90333,9.01,1.15,2.54,12.1262,14.7096,4.1672,5.761,11.02,20.46,3.1,5.89,4.77933,8.646,1.09,2.434,5.62667,1.12,2,3.44,11,18,3,6,4.66667,0,2,2,6,16,0,4,0,0,0,0,10.6667,22,2,6,1823,3217,547,941,19.7,12.5,3.8,27.7,1220.55,489.25,302.95,1095.15,3662.35,1519.7,958.15,2676.15,12.0667,7.36,4.79,5.9,0.733333,0.56,0.18,0.37,15.722,1.97,5.59,9.21,270.567,366.6,37.7,258.7,34.42,73.04,2.04,40.6,552.667,394,178,286,5.77333,3.76,1.86,2.81
Na2ZnGe2Se6,2.36,80,182,11,34,182.587,427.78,22.9898,78.96,10.5,18,3,4,34.5,94,1,16,15,40,1,7,2.5,2,0,2,191.25,530,2,89,3.5875,3.3,1.15,1.8,3.4325,3.88,1.16,1.54,4.5025,2.41,1.285,2.65,3.5875,3.3,1.15,1.8,1.87,1.26,0.53,1.16,5.7075,13.44,0.93,2.55,5.61,13.46,0.89,2.54,13.1686,29.4904,2.5378,5.761,13.6725,29.64,2.85,5.89,5.48,12.866,0.869,2.434,6.61,2.44,1,4.44,14.5,10,1,12,5,10,1,2,7,24,0,4,2.5,10,0,10,12,34,1,6,2267,4654,496,941,22.15,24.4,3.8,23.6,1704.16,1699.2,370.95,1220.55,3861.66,457.4,958.15,3103.15,12.113,5.188,0.971,7.13,1.3525,0.54,0.32,1.23,31.6405,68.684,2.598,36.94,299.305,435.6,37.7,330.9,132.51,269.76,2.04,141,616.25,536,109,377,6.509,5.474,1.113,3.85
In2Se3,1.42,100,4,34,49,233.258,7.244,78.96,114.818,11,2,4,5,37,22,13,16,15.5,11,5,7,2.5,1,1,1,208.5,117,75,89,3.275,0.35,1.15,1.55,3.18,0.6,1.16,1.44,3.9775,0.245,1.285,2.05,3.275,0.35,1.15,1.55,1.78,0.2,0.56,0.94,5.605,4.09,1.78,2.55,5.44,4.36,1.63,2.54,12.8752,8.8156,4.2337,5.761,11.935,11.47,3.1,5.89,5.307,3.99,1.656,2.434,6.44,0.88,2,3.44,12,12,3,6,5,2,2,2,7,10,1,4,10,20,0,10,11,14,2,6,1969.5,1707,558,941,15.4,8,3.8,9.7,1164.97,610.95,429.75,490.15,3790.38,1831.85,958.15,2353.15,14.495,0.25,4.79,7.31,0.71,0.5,0.23,0.32,13.304,13.556,3.263,6.694,288.05,349.9,37.7,231.5,84.66,157.08,2.04,81.6,583.5,195,227,243,6.21,2.34,2.46,2.52
Pr2Te4O11,3.65,138,30,8,59,322.736,105.822,15.9994,140.908,18,10,2,6,82,26,3,16,35.6667,71,3,7,7,5,1,3,450.333,326,17,90,5.3,2.9,0.6,1.85,5.59,4.73,0.73,1.65,6.91833,3.845,0.465,4.48,5.3,2.9,0.6,1.85,6.79667,1.8,1.11,1.32,16.1667,35.58,1.13,3.44,16.08,34.32,1.1,3.32,41.0398,82.7943,4.6395,8.3703,37.0333,76.74,3.1,7.54,16.8407,37.53,1.09,3.61,4.73333,6.2,0,3.1,32,6,3,6,11.3333,18,2,2,20,8,0,4,13.3333,40,0,10,26,58,2,6,6328,13400,527,1314,29.041,47.677,0.793,28.2,1967.05,1806.05,54.75,1204.15,4207.92,5588.65,90.15,3290.15,12.8386,13.5243,0.00143,6.77,3.76667,9.74,0.19,0.92,28.7295,67.5115,0.22259,17.49,280.436,556.091,3.4099,296.8,11.5647,24.7059,0.02674,12.5,1413,76,197,356,14.9933,1.36,2.19,3.7
CoP3,0.45,36,18,15,27,75.9272,33.9881,30.9738,58.9332,6.5,5,3,4,27,36,9,15,12.5,17,4,7,2.5,1,1,2,153.5,191,58,83,2.175,1.65,1,1.35,2.17,2.02,1.06,1.16,2.87,1.7,1.24,2.02,2.175,1.65,1,1.35,0.735,0.39,0.31,0.54,4.225,4.69,1.88,2.19,4.34,5.24,1.72,2.32,9.18745,11.3797,3.4976,4.9591,10.58,12.56,4.3,5.62,4.2995,4.919,1.84,2.253,7.39,3.22,3,5.78,12,6,5,9,4,4,2,2,4.5,9,0,3,3.5,7,0,7,8.5,13,2,5,1898,2276,760,1012,9.15,3.3,3.6,7.5,1359.95,816.4,317.25,1768.15,2401.3,1483.7,553.15,3143.15,7.18,3.44,1.82,8.9,1.365,1.89,0.42,0.77,9.0805,14.219,0.657,16.19,206.444,340.113,12.129,376.5,50.3525,99.295,0.235,100,685,520,315,425,7.34,5.9,3.43,4.39
